id;processo;assunto;subarea;classe;juiz;vara;foro;digital;apensado_ao;controle;outros_assuntos;processo_principal;situacao;valor_da_acao;data_recebimento;tipo_recebimento;recurso
598808;00031484320188260566;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;4ª Vara Cível;Foro de São Carlos;TRUE;NA;2017/000256;NA;1002422-86.2017.8.26.0566;NA;20227.03;2018-03-15;NA;NA
126941;00001951120188260048;DIREITO DO CONSUMIDOR;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;CEJUSC (Pré-Processual);Foro de Atibaia;TRUE;0000642-67.2016.8.26.0048;2016/000062;NA;0000642-67.2016.8.26.0048;NA;NA;2016-07-18;NA;NA
315069;00016113920188260266;Contratos de Consumo;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;Helen Cristina de Melo Alexandre;CEJUSC (Pré-Processual);Foro de Itanhaém;TRUE;NA;2018/000339;NA;0001611-39.2018.8.26.0266;Extinto;NA;2018-03-14;Direcionada;NA
664176;00210128320188260602;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Douglas Augusto dos Santos;Juizado Especial Cível Anexo FADI;Foro de Sorocaba;TRUE;NA;2018/001534;NA;0021012-83.2018.8.26.0602;NA;6200;2018-09-21;Livre;NA
288882;00205717220188260224;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;MIRIAN KEIKO SANCHES MACEDO;3ª Vara do Juizado Especial Cível;Foro de Guarulhos;FALSE;NA;2018/001239;NA;0020571-72.2018.8.26.0224;Extinto;6870;2018-05-16;Livre;NA
141813;00015024320188260066;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro de Barretos;TRUE;NA;2017/001138;NA;1004225-52.2017.8.26.0066;NA;NA;2018-02-23;NA;NA
21832;00327979620188260002;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Cumprimento Provisório de Sentença;NA;1ª Vara Cível;Foro Regional II - Santo Amaro;TRUE;NA;2016/001730;NA;1094835-95.2016.8.26.0100;NA;NA;2018-09-21;NA;NA
297534;00382733120188260224;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Vera Lúcia Calviño de Campos;2ª Vara do Juizado Especial Cível;Foro de Guarulhos;FALSE;NA;2018/002373;NA;0038273-31.2018.8.26.0224;NA;3000;2018-09-12;Livre;NA
472913;00015295920188260443;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Francisca Cristina Müller de Abreu Dall'aglio;Juizado Especial Cível;Foro de Piedade;TRUE;NA;2018/000435;NA;0001529-59.2018.8.26.0443;NA;3246.8;2018-07-13;Livre;NA
29954;00093239320188260003;Atraso de vôo;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;5ª Vara Cível;Foro Regional III - Jabaquara;TRUE;NA;2017/002113;NA;1017683-34.2017.8.26.0003;NA;NA;2018-07-27;NA;NA
89121;00039771620188260019;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;Vara do Juizado Especial Cível;Foro de Americana;TRUE;NA;2017/001685;NA;1005692-13.2017.8.26.0019;NA;28469.29;2018-04-09;NA;NA
15122;00094373520188260002;DIREITO DO CONSUMIDOR;DIREITO DO CONSUMIDOR;Cumprimento de sentença;RODRIGO SOUSA DAS GRACAS;11ª Vara Cível;Foro Regional II - Santo Amaro;TRUE;NA;2017/000531;NA;1010529-65.2017.8.26.0002;NA;9781.44;2018-03-27;NA;NA
463378;00002666720188260418;Estabelecimentos de Ensino;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;PEDRO FLAVIO DE BRITTO COSTA JUNIOR;CEJUSC (Pré-Processual);Foro de Paraibuna;TRUE;NA;2018/000078;NA;0000266-67.2018.8.26.0418;Extinto;1865.16;2018-03-07;Direcionada;NA
